Date,Close,Volume
2020-01-02,532.5,644972
2020-01-03,546.75,728464
2020-01-06,536.25,627520
2020-01-07,536.5,442268
2020-01-08,524.5,730600
2020-01-09,511.25,692908
2020-01-10,515.5,773312
2020-01-13,497.5,627672
2020-01-14,503.5,929532
2020-01-15,503.25,771636
2020-01-16,489,634756
2020-01-17,481.5,559136
2020-01-21,482.5,492356
2020-01-22,478.75,544912
2020-01-23,474.25,710792
2020-01-24,486.5,984272
2020-01-27,516.5,1173056
2020-01-28,492.75,842020
2020-01-29,490.75,762056
2020-01-30,485.25,1206488
2020-01-31,509,1463560
2020-02-03,486,1231772
2020-02-04,452.75,1404064
2020-02-05,447.5,1110544
2020-02-06,436.5,696224
2020-02-07,442,883948
2020-02-10,426,764268
2020-02-11,426,989592
2020-02-12,413.75,639876
2020-02-13,415.5,839456
2020-02-14,412.25,645568
2020-02-18,411.25,773116
2020-02-19,399.75,641740
2020-02-20,411.25,1238232
2020-02-21,434.75,1532288
2020-02-24,485.25,2804004
2020-02-25,524.25,3546668
2020-02-26,516.75,3010152
2020-02-27,594,4241588
2020-02-28,585,5041752
2020-03-02,501.75,3036680
2020-03-03,552,3464492
2020-03-04,483.25,2559736
2020-03-05,526,2263220
2020-03-06,552.25,3216820
2020-03-09,666.5,2615808
2020-03-10,562.5,2915768
2020-03-11,632,2395380
2020-03-12,806.75,3432560
2020-03-13,578,3850120
2020-03-16,767.25,3380296
2020-03-17,627,4177248
2020-03-18,673.5,3404704
2020-03-19,665,4155220
2020-03-20,733,4163728
2020-03-23,737,4039388
2020-03-24,571,4362904
2020-03-25,579,4215316
2020-03-26,486.75,4478360
2020-03-27,533.75,3315760
2020-03-30,476,3485972
2020-03-31,486.5,3693172
2020-04-01,548.75,3573404
2020-04-02,516.25,4075908
2020-04-03,536.5,3168496
2020-04-06,423.75,3613964
2020-04-07,422.5,4153360
2020-04-08,395.75,3350348
2020-04-09,393.75,3977948
2020-04-13,380.5,2854916
2020-04-14,330.75,3283336
2020-04-15,341.75,2628496
2020-04-16,323.25,3599264
2020-04-17,315.25,2871464
2020-04-20,325.5,2153928
2020-04-21,361.25,3664384
2020-04-22,328.75,2101244
2020-04-23,331.25,2620016
2020-04-24,315,2403828
2020-04-27,308.75,1840928
2020-04-28,325,2613196
2020-04-29,291.5,2723928
2020-04-30,289.5,2236272
2020-05-01,315.5,2588048
2020-05-04,304.25,1756036
2020-05-05,294,2038456
2020-05-06,288.5,2297364
2020-05-07,277.25,2368024
2020-05-08,266,2094940
2020-05-11,259.25,2228116
2020-05-12,274.75,2629396
2020-05-13,285,4383424
2020-05-14,275.5,3194648
2020-05-15,270,2981532
2020-05-18,255,2336180
2020-05-19,257.25,2303968
2020-05-20,241.5,2281460
2020-05-21,249,2649664
2020-05-22,246.75,1749480
2020-05-26,248,2012156
2020-05-27,244.5,3297484
2020-05-28,245.75,2973872
2020-05-29,235.75,3388584
2020-06-01,232.5,1576772
2020-06-02,228.25,2161200
2020-06-03,224.25,1939044
2020-06-04,229.5,2108448
2020-06-05,216,2931988
2020-06-08,210.75,1780952
2020-06-09,206,2235576
2020-06-10,198.25,2952852
2020-06-11,228,4739188
2020-06-12,222.75,5282712
2020-06-15,214.5,3625460
2020-06-16,203.75,3802572
2020-06-17,201.5,2479356
2020-06-18,199.75,1806480
2020-06-19,200,2804620
2020-06-22,193,2217608
2020-06-23,188,3026392
2020-06-24,199,4996796
2020-06-25,193.5,3362236
2020-06-26,207.5,3965080
2020-06-29,201.25,3214720
2020-06-30,189,2836952
2020-07-01,182.25,3364280
2020-07-02,178.5,3063432
2020-07-06,165.5,3552968
2020-07-07,168.75,3798100
2020-07-08,162,3144232
2020-07-09,158,4603680
2020-07-10,154.5,3310508
2020-07-13,164,6749768
2020-07-14,160.5,8366672
2020-07-15,159.5,4218064
2020-07-16,163,3914144
2020-07-17,162.75,2869320
2020-07-20,148.5,3960064
2020-07-21,153,4031884
2020-07-22,151.25,2975200
2020-07-23,163.25,5511680
2020-07-24,168,6776312
2020-07-27,158.75,3280760
2020-07-28,164.75,2784592
2020-07-29,159,2565924
2020-07-30,156.5,4247728
2020-07-31,148.25,4552656
2020-08-03,142.5,3363212
2020-08-04,140.5,2718548
2020-08-05,139.75,2196472
2020-08-06,134,3757660
2020-08-07,138.5,4694900
2020-08-10,140.5,4145872
2020-08-11,148.5,4162524
2020-08-12,137,4248680
2020-08-13,136.25,3976552
2020-08-14,137,2797224
2020-08-17,132,2146160
2020-08-18,128.25,4637880
2020-08-19,130.800003,6552900
2020-08-20,125.300003,6683780
2020-08-21,122.699997,6620720
2020-08-24,120.349998,7445400
2020-08-25,117.550003,5845360
2020-08-26,110,9684840
2020-08-27,111.099998,12690380
2020-08-28,109.25,7181760
2020-08-31,106.75,9774260
2020-09-01,101.199997,9693260
2020-09-02,98.300003,15658900
2020-09-03,113.400002,34570800
2020-09-04,117.900002,41565340
2020-09-08,134.649994,24145080
2020-09-09,123,15148120
2020-09-10,130.050003,20127680
2020-09-11,132.800003,24116280
2020-09-14,126,14411040
2020-09-15,120.5,12759640
2020-09-16,126.400002,14432040
2020-09-17,132.100006,21993920
2020-09-18,137.399994,23646220
2020-09-21,135.550003,22741660
2020-09-22,128.100006,14775680
2020-09-23,140,20021740
2020-09-24,137.850006,25676300
2020-09-25,128.149994,18604520
2020-09-28,120.300003,14719020
2020-09-29,121.849998,10229260
2020-09-30,119.25,16551720
2020-10-01,113.650002,13965660
2020-10-02,123.050003,22061960
2020-10-05,115.300003,9292560
2020-10-06,121.5,17237480
2020-10-07,115.099998,10224880
2020-10-08,113.199997,7645260
2020-10-09,108.099998,8597220
2020-10-12,98.099998,17239840
2020-10-13,98,11601700
2020-10-14,100.449997,14055660
2020-10-15,102.599998,13687740
2020-10-16,104.199997,9812780
2020-10-19,109.25,14530480
2020-10-20,108.449997,14851340
2020-10-21,108.800003,12652140
2020-10-22,108.75,14614740
2020-10-23,108,9747080
2020-10-26,112.900002,16917900
2020-10-27,110.300003,11855680
2020-10-28,123.25,20052560
2020-10-29,116.800003,15367640
2020-10-30,125.150002,25400880
2020-11-02,124.75,17118920
2020-11-03,118.400002,17413700
2020-11-04,102.400002,24011820
2020-11-05,94.5,17656160
2020-11-06,94.150002,18060180
2020-11-09,99.900002,23125460
2020-11-10,105.199997,25873240
2020-11-11,98.199997,13319440
2020-11-12,99.5,14111700
2020-11-13,96.949997,10476420
2020-11-16,94.75,8539920
2020-11-17,95.5,7933640
2020-11-18,97.75,8799740
2020-11-19,95.349998,8305200
2020-11-20,97.349998,6989260
2020-11-23,97.300003,7789280
2020-11-24,93.25,9071640
2020-11-25,91.449997,6931720
2020-11-27,89,4682600
2020-11-30,88.5,10757540
2020-12-01,84.949997,10342920
2020-12-02,84.599998,7912820
2020-12-03,84.25,6927760
2020-12-04,83.199997,6151500
2020-12-07,81.800003,6233640
2020-12-08,81,6801500
2020-12-09,86.449997,16137140
2020-12-10,85.5,12674260
2020-12-11,86,10838680
2020-12-14,84.099998,8453040
2020-12-15,81.5,7647540
2020-12-16,80.150002,7953880
2020-12-17,78.5,6099980
2020-12-18,79.25,9485920
2020-12-21,79.75,13821420
2020-12-22,79.050003,9229580
2020-12-23,80.199997,6518980
2020-12-24,79.150002,3946620
2020-12-28,76.75,7753700
2020-12-29,76.550003,9782840
2020-12-30,76.550003,5639160
2020-12-31,75.900002,7173580
2021-01-04,79.199997,17903060
2021-01-05,77.25,10119320
2021-01-06,80.449997,20570880
2021-01-07,74.449997,12022620
2021-01-08,71.699997,17438240
2021-01-11,74.800003,13487820
2021-01-12,75.099998,11161520
2021-01-13,73.699997,8393100
2021-01-14,74.800003,7090560
2021-01-15,76.599998,12317060
2021-01-19,73.199997,8953380
2021-01-20,68.150002,13114560
2021-01-21,66.400002,9302840
2021-01-22,67,7417020
2021-01-25,65.150002,20294300
2021-01-26,65.050003,9033240
2021-01-27,70.349998,21581220
2021-01-28,69.25,16428540
2021-01-29,73.550003,22239440
2021-02-01,68.050003,16807880
2021-02-02,64.849998,11600680
2021-02-03,65.5,10641920
2021-02-04,63.200001,9418740
2021-02-05,62.549999,9370060
2021-02-08,61.299999,8825300
2021-02-09,61.349998,9396460
2021-02-10,61.75,18920860
2021-02-11,60.75,13923340
2021-02-12,59.799999,9644660
2021-02-16,60.200001,11199000
2021-02-17,61.099998,15997240
2021-02-18,61.900002,17509040
2021-02-19,62.700001,13160960
2021-02-22,67.599998,20619040
2021-02-23,68.150002,38740420
2021-02-24,66.449997,23154100
2021-02-25,73.5,37987020
2021-02-26,72.400002,43301440
2021-03-01,65.949997,19140960
2021-03-02,69.099998,15368180
2021-03-03,75.099998,32869620
2021-03-04,78.800003,64767940
2021-03-05,75.199997,60667600
2021-03-08,81.599998,36940800
2021-03-09,71.949997,31731120
2021-03-10,72.5,26579180
2021-03-11,67.449997,22396480
2021-03-12,69.099998,19646680
2021-03-15,66.900002,12479900
2021-03-16,65.800003,18581880
2021-03-17,65,23925640
2021-03-18,70.949997,20265640
2021-03-19,70.050003,23904440
2021-03-22,66.25,16568440
2021-03-23,67.150002,20291000
2021-03-24,70.5,18830160
2021-03-25,70.849998,27874000
2021-03-26,67.650002,21701540
2021-03-29,67.75,18775320
2021-03-30,68.75,13000580
2021-03-31,65.599998,16130900
2021-04-01,62.200001,14595200
2021-04-05,58.549999,13870520
2021-04-06,58.700001,11199240
2021-04-07,58.200001,11015720
2021-04-08,56.349998,10518960
2021-04-09,55.349998,14735440
2021-04-12,55.599998,9694360
2021-04-13,53.599998,11665580
2021-04-14,55.549999,13534980
2021-04-15,52.950001,15144800
2021-04-16,52.799999,9999000
2021-04-19,54.299999,15976580
2021-04-20,55.450001,14388720
2021-04-21,54,12755760
2021-04-22,55.950001,21620320
2021-04-23,53.849998,12163800
2021-04-26,52.75,12424380
2021-04-27,53.450001,12127140
2021-04-28,54.049999,9125660
2021-04-29,53.400002,13361200
2021-04-30,54.450001,10789460
2021-05-03,55.299999,9085200
2021-05-04,58.299999,25895260
2021-05-05,58.900002,12402660
2021-05-06,57.599998,16156360
2021-05-07,56.150002,15156460
2021-05-10,60.400002,13553620
2021-05-11,60.599998,25926180
2021-05-12,65.300003,32373880
2021-05-13,63.849998,23489680
2021-05-14,59.650002,17475000
2021-05-17,60.700001,13796160
2021-05-18,61.900002,11664740
2021-05-19,61.700001,22252800
2021-05-20,58.099998,16644260
2021-05-21,59.049999,12104340
2021-05-24,56.049999,11469800
2021-05-25,55.799999,11015680
2021-05-26,55.25,8795760
2021-05-27,55.900002,8863020
2021-05-28,55.349998,8992740
2021-06-01,55.900002,11836420
2021-06-02,55.599998,9997620
2021-06-03,57.349998,12706100
2021-06-04,54.349998,15739420
2021-06-07,53.900002,10314660
2021-06-08,53.849998,13099440
2021-06-09,53.75,8356560
2021-06-10,52.049999,19425620
2021-06-11,51.650002,7880380
2021-06-14,50.200001,9339260
2021-06-15,51.150002,11309840
2021-06-16,51.75,20311660
2021-06-17,49.75,20564840
2021-06-18,50.900002,16313680
2021-06-21,50,12220180
2021-06-22,48.599998,14781900
2021-06-23,48.5,10440940
2021-06-24,47.599998,14074380
2021-06-25,47.700001,11837780
2021-06-28,46,11980540
2021-06-29,45.5,10344020
2021-06-30,45.700001,9047780
2021-07-01,45.700001,9366860
2021-07-02,44.099998,11317020
2021-07-06,43.599998,18806000
2021-07-07,43.25,19893780
2021-07-08,44.049999,22051840
2021-07-09,43.200001,12903920
2021-07-12,42.75,10474120
